Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/VECTREX/Manuals/!System Manual (GCE Vectrex).pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2F%21System%20Manual%20%28GCE%20Vectrex%29.pdf,2709203,9bbd66a13a76bb5608f0276fb4b2aab2,,,!System Manual (GCE Vectrex).pdf
docs/VECTREX/Manuals/.Overlays (GCE Vectrex).pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2F.Overlays%20%28GCE%20Vectrex%29.pdf,1301015,d27ae5f27d842ea7480e55d846806087,,,.Overlays (GCE Vectrex).pdf
docs/VECTREX/Manuals/3D Crazy Coaster.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2F3D%20Crazy%20Coaster.pdf,193899,a6e09ed8a807eebf0a5bc24dacd3dfdc,,,3D Crazy Coaster.pdf
docs/VECTREX/Manuals/3D Mine Storm.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2F3D%20Mine%20Storm.pdf,177406,bb23aa8863bf62a33c0cbc1322cb4844,,,3D Mine Storm.pdf
docs/VECTREX/Manuals/3D Narrow Escape.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2F3D%20Narrow%20Escape.pdf,239173,227aee9e3269a5228fba37ef573f3168,,,3D Narrow Escape.pdf
docs/VECTREX/Manuals/AnimAction.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2FAnimAction.pdf,383899,11d116a0b26cf33bd7de1c62766313ca,,,AnimAction.pdf
docs/VECTREX/Manuals/Armor Attack.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2FArmor%20Attack.pdf,248943,0777d2d0ecab4c451d75ccb150e95b55,,,Armor Attack.pdf
docs/VECTREX/Manuals/Art Master.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2FArt%20Master.pdf,503286,8f2d1d830342c6ae9747841152c8b238,,,Art Master.pdf
docs/VECTREX/Manuals/Bedlam.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2FBedlam.pdf,207730,16b180c3b15126cd0abc20d4e4fcd431,,,Bedlam.pdf
docs/VECTREX/Manuals/Berzerk.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2FBerzerk.pdf,193571,8ce4a06e79e29def5411c8a3a88eff53,,,Berzerk.pdf
docs/VECTREX/Manuals/Blitz! - Action Football.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2FBlitz%21%20-%20Action%20Football.pdf,244940,968484c378e1af30bdb510efb63ddf2d,,,Blitz! - Action Football.pdf
docs/VECTREX/Manuals/Clean Sweep.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2FClean%20Sweep.pdf,914959,5a6b14fe8bd1310ea707058de4c0f0ca,,,Clean Sweep.pdf
docs/VECTREX/Manuals/Cosmic Chasm.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2FCosmic%20Chasm.pdf,847395,52fedf18ac1596f4eeda3e9d796a17db,,,Cosmic Chasm.pdf
docs/VECTREX/Manuals/Dark Tower.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2FDark%20Tower.pdf,188467,c56855c3410f7023544fbd031d379249,,,Dark Tower.pdf
docs/VECTREX/Manuals/Fortress of Narzod.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2FFortress%20of%20Narzod.pdf,28351,458c372353f03f30eb8fa0452a9a6499,,,Fortress of Narzod.pdf
docs/VECTREX/Manuals/Heads-Up - Action Soccer.pdf,https://archive.org/download/mister-manuals/1982_GCE%20Vectrex.zip/1982_GCE%20Vectrex%2FHeads-Up%20-%20Action%20Soccer.pdf,258227,6a4f539adb844328fd2cde8616117efb,,,Heads-Up - Action Soccer.pdf
